"Year","Area","Street","Street 2","Strange HTML"
2011,"Birmingham","Acocksgreen",NA,"One &amp; Two"
2011,"Birmingham","Adderlystr.",NA,"Some &ndash; ndash"
2011,"Birmingham","Alcesterraodmosley",NA,"&euro;300"
2011,"Birmingham","Alcesterroad",NA,"alcester&nbsp;road"
2011,"Birmingham","Alcesterroadmoseley",NA,"&quot;That silly man&quot;"
2011,"Birmingham","Alcesterroadmoseley",NA,"&lt;html&gt;"
2011,"Birmingham","Alfredstr.",NA,"One &amp; Two"
2011,"Birmingham","Allserviceclubmosley",NA,"Some &ndash; ndash"
2011,"Birmingham","Alumrockroad",NA,"&euro;300"
2011,"Birmingham","Alumrockroad",NA,"alcester&nbsp;road"
2011,"Birmingham","Alumrockroad",NA,"&quot;That silly man&quot;"
2011,"Birmingham","Alumrockroad",NA,"&lt;html&gt;"
2011,"Birmingham","Arcadiancentre",NA,"One &amp; Two"
2011,"Birmingham","Ardenroadsaltley",NA,"Some &ndash; ndash"
2011,"Birmingham","Asdachemsleywood",NA,"&euro;300"
2011,"Birmingham","Balsahllheathparkjwbrightonroad",NA,"alcester&nbsp;road"
2011,"Birmingham","Bamfordroad",NA,"&quot;That silly man&quot;"
2011,"Birmingham","Bamfordroad",NA,"&lt;html&gt;"
2011,"Birmingham","Beechbrookave.sparkhill",NA,"One &amp; Two"
2011,"Birmingham","Belcherslane",NA,"Some &ndash; ndash"
2011,"Birmingham","Belcherslane",NA,"&euro;300"
2011,"Birmingham","Belcherslane",NA,"alcester&nbsp;road"
2011,"Birmingham","Belcherslanebordesleygreen",NA,"&quot;That silly man&quot;"
2011,"Birmingham","Bellstr.",NA,"&lt;html&gt;"
2011,"Birmingham","Berkleyrdeasthaymills",NA,"One &amp; Two"
2011,"Birmingham","Birminghamairport",NA,"Some &ndash; ndash"
2011,"Birmingham","Birminghaminternationalrailwaystation",NA,"&euro;300"
2011,"Birmingham","Bordesleygreen",NA,"alcester&nbsp;road"
2011,"Birmingham","Bordesleygreenbordesleygreen",NA,"&quot;That silly man&quot;"
2011,"Birmingham","Bristolroad",NA,"&lt;html&gt;"
2011,"Birmingham","Bristolstr.",NA,"One &amp; Two"
2011,"Birmingham","Broadstr.",NA,"Some &ndash; ndash"
2011,"Birmingham","Broadstr.",NA,"&euro;300"
2011,"Birmingham","Broadstr.birmingham",NA,"alcester&nbsp;road"
2011,"Birmingham","Bucklandendlaneshardend",NA,"&quot;That silly man&quot;"
2011,"Birmingham","Bullsheadphstmarysrow",NA,"&lt;html&gt;"
2011,"Birmingham","Bushburyroadkittsgreen",NA,NA
2011,"Birmingham","Charticeroad",NA,NA
2011,"Birmingham","Chestnutroad",NA,NA
2011,"Birmingham","Churchrdstechford",NA,NA
